label	C1	C2	H2
B1	19.533	20.398	0.973
B2	23.555	24.597	0.922
B3	21.401	20.488	1.015
B4	20.490	21.403	0.961
B5	20.586	20.844	0.885
B6	20.845	20.585	0.855
B7	20.846	20.358	0.745
B8	25.641	23.113	0.851
B9	23.117	25.639	0.726
B10	24.379	25.071	0.894
B11	24.379	25.071	0.894
B12	20.360	20.847	0.734
B13	20.360	20.847	0.734
B14	25.075	24.373	0.908
B15	23.472	26.272	0.619
B16	25.064	24.068	0.733
B17	22.891	27.729	0.713
B18	24.067	25.070	0.726
B19	21.451	21.073	0.923
B20	26.271	23.471	0.530
B21	26.271	23.471	0.530
B22	24.922	23.798	0.569
B23	21.075	21.446	0.605
B24	20.406	19.732	0.983
B25	27.727	22.885	0.745
B26	23.790	26.150	0.701
B27	25.178	21.788	0.477
B28	21.413	24.739	0.184
B29	26.148	23.784	0.785
B30	22.687	26.681	0.760
B31	24.736	21.416	0.281
B32	24.727	25.855	0.870
B33	25.974	22.843	0.714
B34	26.585	24.568	0.393
B35	26.650	25.876	0.806
B36	21.411	22.287	0.610
B37	22.260	25.464	0.570
B38	22.671	18.893	0.821
B39	22.019	18.249	1.271
B40	18.949	19.690	0.106
B41	20.823	21.962	0.580
B42	18.891	22.662	0.545
B43	20.592	25.008	0.288
B44	25.245	24.541	0.004
B45	22.834	19.740	0.942
B46	18.248	22.005	1.000
B47	25.452	22.254	0.654
B48	19.695	18.941	0.100
B49	23.863	22.963	0.872
B50	26.135	25.863	1.109
B51	22.839	24.585	0.283
B52	22.839	24.585	0.283
B53	19.745	22.831	0.888
B54	24.577	22.842	-0.586
B55	21.796	25.178	-0.204
B56	21.971	20.832	0.358
B57	25.846	24.720	0.697
B58	26.691	22.692	0.395
B59	22.961	23.877	0.788
B60	24.556	25.242	0.874
B61	25.852	26.138	1.284
B62	23.730	22.863	1.127
B63	25.417	26.527	0.727
B64	25.862	26.676	0.631
B65	22.951	23.760	1.050
B66	25.010	20.607	-0.131
B67	22.246	21.400	0.711
B68	25.878	24.708	0.750
B69	24.172	22.836	-0.856
