label	C1	C2	H2
X1	21.701	18.251	1.003
X2	22.706	15.861	0.573
X3	26.697	15.843	0.573
X4	26.502	15.832	0.573
X5	19.736	13.784	0.847
X6	23.618	13.769	0.839
X7	26.705	14.104	0.278
X8	22.765	14.099	0.281
X9	20.872	14.095	0.277
X10	23.937	14.115	0.277
X11	19.796	15.285	0.827
X12	25.087	13.592	0.369
X13	24.128	13.591	0.366
X14	26.328	13.564	0.368
X15	24.627	14.107	0.280
X16	25.188	23.772	1.134
X17	25.390	22.890	1.068
X18	20.567	15.844	0.575
X19	25.267	12.784	0.394
X20	26.494	12.800	0.392
X21	24.485	12.750	0.372
X22	24.704	13.788	0.837
X23	23.924	19.741	0.903
X24	23.779	19.755	0.887
X25	26.175	19.749	0.890
X26	25.921	19.743	0.889
X27	21.407	22.867	0.945
X28	25.863	22.824	0.948
X29	21.791	22.877	1.075
X30	23.008	20.368	0.744
X31	14.107	20.365	0.750
X32	15.372	25.368	0.743
X33	25.300	27.576	0.738
X34	22.305	27.748	0.751
X35	21.432	27.763	0.749
X36	23.707	27.672	0.730
X37	25.506	27.763	0.754
X38	26.183	27.767	0.752
X39	25.126	18.291	1.006
X40	24.744	21.109	0.610
X41	21.110	21.414	0.190
X42	19.662	25.299	0.748
X43	19.609	20.508	0.968
X44	21.403	24.732	0.876
X45	21.417	26.175	0.792
X46	21.431	25.886	0.701
X47	25.194	22.999	0.791
X48	25.197	22.866	0.288
X49	25.184	22.787	0.953
X50	18.893	22.855	0.289
X51	18.891	23.151	0.734
X52	26.524	18.469	1.209
X53	25.854	22.975	0.791
X54	17.888	24.648	-0.587
X55	21.968	20.872	0.749
X56	18.821	20.585	0.896
X57	21.354	20.852	0.866
X58	23.609	25.904	1.283
X59	25.989	22.866	0.900
X60	19.605	15.282	0.830
X61	15.310	22.857	0.943
X62	21.362	22.708	0.941
X63	22.300	21.429	0.618
X64	25.241	18.974	0.113
X65	25.514	19.685	0.104
X66	22.717	23.481	0.625
X67	20.843	23.494	0.622
X68	20.574	23.478	0.625
X69	26.708	23.492	0.623
X70	26.695	26.290	0.535
X71	24.992	26.413	0.541
X72	24.923	26.273	0.535
X73	24.769	26.354	0.539
X74	24.606	26.274	0.540
X75	20.825	26.264	0.537
X76	22.688	21.985	0.367
X77	24.062	22.846	0.934
X78	24.780	22.786	0.944
X79	25.877	22.862	0.287
X80	25.658	22.863	0.289
X81	22.689	24.602	-0.582
X82	23.665	14.137	0.278
X83	26.478	14.103	0.278
X84	18.269	18.270	0.163
X85	21.810	25.202	0.482
X86	21.808	23.754	1.131
X87	21.815	19.736	0.102
X88	25.203	21.808	-0.194
X89	25.023	25.011	-0.121
X90	23.809	21.472	0.613
X91	23.826	15.305	0.826
X92	26.174	23.793	0.708
X93	26.173	15.300	0.826
X94	22.317	15.293	0.828
X95	23.129	25.659	0.855
X96	25.684	18.892	0.550
X97	25.892	13.561	0.369
X98	26.083	13.588	0.368
X99	21.430	24.759	0.289
X100	24.760	21.425	0.191
X101	23.774	21.389	1.190
X102	26.165	21.436	1.192
X103	20.606	25.006	-0.126
X104	25.155	25.149	0.743
X105	25.022	20.605	0.294
X106	25.037	23.484	0.625
X107	25.027	15.856	0.577
X108	22.871	24.597	-0.579
X109	22.853	22.848	0.946
X110	24.604	22.857	0.288
X111	24.578	25.259	0.011
X112	24.578	18.917	0.547
X113	24.466	14.121	0.286
X114	24.645	25.196	1.190
X115	25.201	24.607	-0.578
X116	24.589	23.615	1.579
X117	22.908	27.746	0.750
X118	22.889	15.299	0.825
X119	27.752	15.282	0.825
X120	25.726	21.356	1.189
X121	25.210	19.732	0.107
X122	23.501	25.073	-0.124
X123	23.489	26.283	0.536
X124	23.484	15.849	0.576
X125	23.507	14.124	0.280
X126	26.290	23.483	0.623
X127	26.289	15.831	0.576
X128	26.303	21.967	0.374
X129	26.152	22.831	0.944
X130	26.301	14.103	0.280
X131	25.841	25.201	1.187
X132	21.423	20.494	0.966
X133	21.379	20.623	0.896
X134	21.442	19.744	0.892
X135	20.499	21.419	1.020
X136	20.406	20.593	0.891
X137	20.855	20.608	0.890
X138	20.673	21.333	1.018
X139	20.506	20.500	0.966
X140	20.612	20.856	0.860
X141	25.257	23.620	1.578
X142	25.187	19.075	1.063
X143	25.850	23.624	1.576
X144	21.420	23.788	0.712
