label	C1	C2	H2	intensity
X1	21.701	18.251	1.003	5.21212e+08
X2	22.706	15.861	0.573	5.5291e+08
X3	26.697	15.843	0.573	7.36805e+08
X4	26.502	15.832	0.573	4.16107e+08
X5	19.736	13.784	0.847	4.07371e+08
X6	23.618	13.769	0.839	5.26226e+08
X7	26.705	14.104	0.278	5.27451e+08
X8	22.765	14.099	0.281	4.64648e+08
X9	20.872	14.095	0.277	4.99332e+08
X10	23.937	14.115	0.277	5.53331e+08
X11	19.796	15.285	0.827	4.41335e+08
X12	25.087	13.592	0.369	7.61289e+08
X13	24.128	13.591	0.366	3.95115e+08
X14	26.328	13.564	0.368	4.24654e+08
X15	24.627	14.107	0.280	5.20946e+08
X16	25.188	23.772	1.134	4.89171e+08
X17	25.390	22.890	1.068	4.93904e+08
X18	20.567	15.844	0.575	3.85255e+08
X19	25.267	12.784	0.394	8.9224e+08
X20	26.494	12.800	0.392	1.13947e+09
X21	24.485	12.750	0.372	2.39802e+08
X22	24.704	13.788	0.837	3.44753e+08
X23	23.924	19.741	0.903	4.49113e+08
X24	23.779	19.755	0.887	5.60515e+08
X25	26.175	19.749	0.890	5.90258e+08
X26	25.921	19.743	0.889	4.97951e+08
X27	21.407	22.867	0.945	5.73692e+08
X28	25.863	22.824	0.948	5.84134e+08
X29	21.791	22.877	1.075	3.88688e+08
X30	23.008	20.368	0.744	5.8811e+08
X31	14.107	20.365	0.750	3.66203e+08
X32	15.372	25.368	0.743	6.97236e+08
X33	25.300	27.576	0.738	2.68363e+08
X34	22.305	27.748	0.751	1.31039e+09
X35	21.432	27.763	0.749	7.89613e+08
X36	23.707	27.672	0.730	-1.11144e+08
X37	25.506	27.763	0.754	6.07675e+08
X38	26.183	27.767	0.752	3.90693e+08
X39	25.126	18.291	1.006	4.21302e+08
X40	24.744	21.109	0.610	5.11907e+08
X41	21.110	21.414	0.190	1.37925e+09
X42	19.662	25.299	0.748	3.5629e+08
X43	19.609	20.508	0.968	5.94508e+08
X44	21.403	24.732	0.876	6.30492e+08
X45	21.417	26.175	0.792	8.11376e+08
X46	21.431	25.886	0.701	5.83672e+08
X47	25.194	22.999	0.791	5.72847e+08
X48	25.197	22.866	0.288	4.93637e+08
X49	25.184	22.787	0.953	3.64292e+08
X50	18.893	22.855	0.289	5.55039e+08
X51	18.891	23.151	0.734	5.3672e+08
X52	26.524	18.469	1.209	2.90564e+08
X53	25.854	22.975	0.791	5.38492e+08
X54	17.888	24.648	-0.587	2.97995e+08
X55	21.968	20.872	0.749	3.0145e+08
X56	18.821	20.585	0.896	2.5276e+08
X57	21.354	20.852	0.866	2.89161e+08
X58	23.609	25.904	1.283	5.27125e+08
X59	25.989	22.866	0.900	4.57474e+08
