label	C1	C2	H2	intensity
X1	20.553	20.342	1.004	1.39742e+10
X2	19.252	19.463	0.958	1.29567e+10
X3	19.252	19.041	0.958	1.20471e+10
X4	20.553	20.764	1.004	1.16634e+10
X5	20.447	21.397	1.004	8.72472e+09
X6	21.397	20.447	0.958	8.25504e+09
X7	20.834	20.588	0.879	7.23929e+09
X8	19.463	19.252	0.958	7.22246e+09
X9	20.588	20.834	0.848	7.0383e+09
X10	19.076	19.252	0.958	6.72326e+09
X11	20.834	20.342	0.723	5.96059e+09
X12	20.342	20.553	1.004	5.84852e+09
X13	24.561	24.385	0.926	5.42302e+09
X14	23.541	23.331	0.911	5.15736e+09
X15	20.342	20.834	0.739	4.9542e+09
X16	24.561	24.772	0.926	4.64571e+09
X17	20.764	20.553	1.004	4.62274e+09
X18	23.541	23.752	0.911	4.47216e+09
X19	20.658	20.482	0.958	4.37464e+09
X20	21.186	21.361	1.004	4.0058e+09
X21	21.608	21.397	1.004	3.78465e+09
X22	20.482	20.658	0.958	3.77803e+09
X23	25.616	23.084	0.723	3.73938e+09
X24	25.053	24.350	0.895	3.69822e+09
X25	21.432	21.080	0.598	3.62188e+09
X26	21.361	21.186	1.004	3.57361e+09
X27	21.397	21.572	1.004	3.54936e+09
X28	23.084	25.616	0.848	3.46033e+09
X29	24.350	25.053	0.911	3.33619e+09
X30	20.377	20.553	0.879	3.10012e+09
X31	20.799	21.010	0.864	3.08532e+09
X32	24.772	24.561	0.926	3.03917e+09
X33	21.010	20.834	0.848	3.0172e+09
X34	20.553	20.377	0.879	2.97851e+09
X35	20.412	20.201	0.973	2.86285e+09
X36	24.385	24.561	0.926	2.82226e+09
X37	21.045	21.432	0.911	2.80425e+09
X38	20.447	20.658	1.004	2.80164e+09
X39	27.726	22.873	0.707	2.79957e+09
X40	25.053	24.069	0.723	2.78537e+09
X41	13.872	14.083	0.707	2.61764e+09
X42	22.873	27.726	0.739	2.47072e+09
X43	24.069	25.053	0.723	2.46376e+09
X44	21.221	21.010	0.879	2.43653e+09
X45	21.291	21.502	1.004	2.38979e+09
X46	21.502	21.291	1.004	2.32731e+09
X47	23.331	23.541	0.926	2.32584e+09
X48	24.807	25.018	0.895	2.16925e+09
X49	26.249	23.436	0.613	2.13563e+09
X50	21.397	24.737	0.285	2.11522e+09
X51	18.935	18.724	1.442	2.02703e+09
X52	14.294	14.083	0.707	2.01949e+09
X53	14.083	13.872	0.707	1.98097e+09
X54	21.010	21.221	0.864	1.97121e+09
X55	24.245	24.456	0.879	1.91908e+09
X56	22.873	23.084	0.723	1.84887e+09
X57	24.737	21.397	0.175	1.81769e+09
X58	18.935	19.111	1.442	1.78801e+09
X59	23.471	26.249	0.520	1.75789e+09
X60	23.752	23.541	0.926	1.74688e+09
X61	21.010	20.834	0.739	1.74582e+09
X62	20.096	20.307	0.895	1.69763e+09
X63	25.018	24.807	0.895	1.68908e+09
X64	20.307	20.096	0.895	1.66297e+09
X65	20.658	20.834	0.739	1.66139e+09
X66	21.537	21.326	1.098	1.65141e+09
X67	26.143	23.752	0.692	1.62262e+09
X68	23.752	26.143	0.785	1.61621e+09
X69	21.151	21.326	1.083	1.61206e+09
X70	26.143	15.279	0.817	1.60433e+09
X71	21.608	21.432	0.926	1.56142e+09
X72	14.083	14.294	0.707	1.55628e+09
X73	22.241	25.440	0.645	1.54969e+09
X74	21.361	21.537	1.098	1.51617e+09
X75	20.623	21.291	1.004	1.49679e+09
X76	25.440	22.241	0.566	1.4937e+09
X77	21.151	21.397	1.177	1.44163e+09
X78	20.658	20.342	0.864	1.43003e+09
X79	21.326	21.115	1.083	1.41277e+09
X80	21.080	21.397	0.175	1.37925e+09
X81	27.726	15.243	0.817	1.36312e+09
X82	21.502	20.307	0.958	1.3621e+09
X83	21.783	25.159	0.473	1.35699e+09
X84	18.865	22.662	0.817	1.34893e+09
X85	13.556	13.767	0.895	1.34251e+09
X86	21.291	20.623	0.942	1.3391e+09
X87	21.608	21.397	1.177	1.33338e+09
X88	22.276	27.726	0.739	1.31039e+09
X89	20.201	20.412	0.895	1.29979e+09
X90	20.307	21.502	1.020	1.28682e+09
X91	21.959	20.799	0.582	1.28531e+09
X92	19.041	19.498	0.973	1.27364e+09
X93	20.307	20.693	0.832	1.26985e+09
X94	26.671	22.662	0.754	1.25259e+09
X95	22.838	22.662	0.817	1.23715e+09
X96	22.698	23.436	0.613	1.21542e+09
X97	21.397	15.279	0.817	1.20636e+09
X98	18.935	18.724	1.270	1.19704e+09
X99	22.838	15.279	0.817	1.18622e+09
