label	C1	C2	H2
B1	22.843	25.193	0.627
B1b	25.193	22.843	0.661
B2	23.24	25.208	0.772
B2b	25.208	23.24	0.642
B3	22.232	17.923	0.098
B3b	17.923	22.232	0.828
B4	26.597	22.229	0.691
B4b	22.229	26.597	0.713
B5	26.072	23.707	0.752
B5b	23.707	26.072	0.861
B6	25.201	23.084	0.608
B6b	23.084	25.201	0.534
B7	24.716	22.23	0.617
B7b	22.23	24.716	-0.036
B8	21.055	20.813	0.685
B8b	20.813	21.055	0.614
B9	20.926	26.228	0.196
B9b	26.228	20.926	-0.074
B10	23.481	27.141	0.512
B10b	27.141	23.481	0.607
B11	20.739	22.481	0.727
B11b	22.481	20.739	0.482
B12	20.204	21.995	0.844
B12b	21.995	20.204	0.634
B13	23.167	25.119	0.687
B13b	25.119	23.167	0.726
B14	17.467	22.371	0.435
B14b	22.371	17.467	0.1
B15	27.144	24.389	0.789
B15b	24.389	27.144	0.828
B16	22.557	18.691	0.67
B16b	18.691	22.557	0.856
B17	22.64	20.952	1.065
B17b	20.952	22.64	0.88
B18	23.085	22.412	0.885
B18b	22.412	23.085	1.26
B19	20.746	26.731	0.588
B19b	26.731	20.746	0.554
B20	24.794	22.546	0.462
B20b	22.546	24.794	0.035
B21	25.338	22.576	0.071
B21b	22.576	25.338	-0.53
B22	22.489	25.303	0.327
B22b	25.303	22.489	0.466
