label	C1	C2	H2
X1	10.414	13.777	0.818
X1b	13.777	10.414	0.861
X2	25.208	13.777	0.818
X2b	13.777	25.208	0.772
X3	23.24	13.777	0.818
X3b	13.777	23.24	0.642
X4	17.923	13.777	0.818
X4b	13.777	17.923	0.098
X5	22.232	13.777	0.818
X5b	13.777	22.232	0.828
X6	22.229	13.777	0.818
X6b	13.777	22.229	0.691
X7	26.597	13.777	0.818
X7b	13.777	26.597	0.713
X8	22.23	13.777	0.818
X8b	13.777	22.23	0.617
X9	24.716	13.777	0.818
X9b	13.777	24.716	-0.036
X10	25.193	10.414	0.861
X10b	10.414	25.193	0.627
X11	22.843	10.414	0.861
X11b	10.414	22.843	0.661
X12	13.666	10.414	0.861
X12b	10.414	13.666	0.483
X13	25.208	10.414	0.861
X13b	10.414	25.208	0.772
X14	23.24	10.414	0.861
X14b	10.414	23.24	0.642
X15	24.716	10.414	0.861
X15b	10.414	24.716	-0.036
X16	20.746	10.414	0.861
X16b	10.414	20.746	0.554
X17	19.054	10.414	0.861
X17b	10.414	19.054	1.438
X18	22.843	25.193	0.627
X18b	25.193	22.843	0.661
X19	26.731	25.193	0.627
X19b	25.193	26.731	0.588
X20	20.746	25.193	0.627
X20b	25.193	20.746	0.554
X21	19.054	25.193	0.627
X21b	25.193	19.054	1.438
X22	26.731	22.843	0.661
X22b	22.843	26.731	0.588
X23	20.746	22.843	0.661
X23b	22.843	20.746	0.554
X24	19.054	22.843	0.661
X24b	22.843	19.054	1.438
X25	23.24	13.666	0.483
X25b	13.666	23.24	0.642
X26	14.032	13.666	0.483
X26b	13.666	14.032	0.107
X27	23.24	25.208	0.772
X27b	25.208	23.24	0.642
X28	17.923	25.208	0.772
X28b	25.208	17.923	0.098
X29	17.923	23.24	0.642
X29b	23.24	17.923	0.098
X30	22.232	23.24	0.642
X30b	23.24	22.232	0.828
X31	22.229	23.24	0.642
X31b	23.24	22.229	0.691
X32	26.597	23.24	0.642
X32b	23.24	26.597	0.713
X33	22.232	17.923	0.098
X33b	17.923	22.232	0.828
X34	22.229	17.923	0.098
X34b	17.923	22.229	0.691
X35	26.597	17.923	0.098
X35b	17.923	26.597	0.713
X36	23.707	17.923	0.098
X36b	17.923	23.707	0.752
X37	26.072	17.923	0.098
X37b	17.923	26.072	0.861
X38	14.032	17.923	0.098
