label	C1	C2	H2
B1	23.988	24.905	0.894
B1b	24.905	23.988	0.885
B2	23.736	27.177	0.867
B2b	27.177	23.736	0.921
B3	26.13	24.822	0.876
B3b	24.822	26.13	0.883
B4	26.544	26.009	1.032
B4b	26.009	26.544	0.957
B5	24.349	24.512	0.928
B5b	24.512	24.349	0.904
B6	21.761	26.72	0.781
B6b	26.72	21.761	0.703
B7	26.525	23.905	0.987
B7b	23.905	26.525	0.915
B8	25.319	23.003	1.014
B8b	23.003	25.319	1.037
B9	22.109	25.542	0.977
B9b	25.542	22.109	0.992
B10	24.216	25.759	1.042
B10b	25.759	24.216	0.99
B11	24.855	27.907	1.053
B11b	27.907	24.855	0.74
B12	25.387	22.483	0.099
B12b	22.483	25.387	0.256
B13	22.134	25.488	0.871
B13b	25.488	22.134	0.704
B14	23.543	22.973	0.952
B14b	22.973	23.543	0.627
B15	23.182	25.849	0.734
B15b	25.849	23.182	0.723
B16	23.376	26.142	0.974
B16b	26.142	23.376	0.94
B17	24.822	25.227	0.843
B17b	25.227	24.822	0.912
B18	22.705	21.164	0.981
B18b	21.164	22.705	1.14
B19	24.128	22.679	0.881
B19b	22.679	24.128	0.986
B20	23.217	25.107	0.863
B20b	25.107	23.217	0.864
B21	24.139	27.074	0.771
B21b	27.074	24.139	1.024
B22	22.79	21.031	0.932
B22b	21.031	22.79	0.96
B23	22.798	27.75	0.83
B23b	27.75	22.798	0.951
B24	22.503	26.08	0.825
B24b	26.08	22.503	0.833
