label	C1	C2	H2
X1	23.988	24.905	0.894
X1b	24.905	23.988	0.885
X2	24.512	24.905	0.894
X2b	24.905	24.512	0.928
X3	23.736	27.177	0.867
X3b	27.177	23.736	0.921
X4	26.13	27.177	0.867
X4b	27.177	26.13	0.883
X5	25.759	27.177	0.867
X5b	27.177	25.759	1.042
X6	24.216	27.177	0.867
X6b	27.177	24.216	0.99
X7	27.907	27.177	0.867
X7b	27.177	27.907	1.053
X8	27.074	27.177	0.867
X8b	27.177	27.074	0.771
X9	24.139	27.177	0.867
X9b	27.177	24.139	1.024
X10	10.068	27.177	0.867
X10b	27.177	10.068	0.25
X11	13.76	27.177	0.867
X11b	27.177	13.76	0.764
X12	26.08	27.177	0.867
X12b	27.177	26.08	0.825
X13	22.503	27.177	0.867
X13b	27.177	22.503	0.833
X14	24.822	23.736	0.921
X14b	23.736	24.822	0.876
X15	26.13	23.736	0.921
X15b	23.736	26.13	0.883
X16	25.759	23.736	0.921
X16b	23.736	25.759	1.042
X17	24.216	23.736	0.921
X17b	23.736	24.216	0.99
X18	27.907	23.736	0.921
X18b	23.736	27.907	1.053
X19	24.855	23.736	0.921
X19b	23.736	24.855	0.74
X20	27.074	23.736	0.921
X20b	23.736	27.074	0.771
X21	24.139	23.736	0.921
X21b	23.736	24.139	1.024
X22	10.068	23.736	0.921
X22b	23.736	10.068	0.25
X23	13.76	23.736	0.921
X23b	23.736	13.76	0.764
X24	26.08	23.736	0.921
X24b	23.736	26.08	0.825
X25	26.13	24.822	0.876
X25b	24.822	26.13	0.883
X26	26.72	24.822	0.876
X26b	24.822	26.72	0.781
X27	21.761	24.822	0.876
X27b	24.822	21.761	0.703
X28	27.907	24.822	0.876
X28b	24.822	27.907	1.053
X29	24.855	24.822	0.876
X29b	24.822	24.855	0.74
X30	22.483	24.822	0.876
X30b	24.822	22.483	0.099
X31	25.387	24.822	0.876
X31b	24.822	25.387	0.256
X32	25.488	24.822	0.876
X32b	24.822	25.488	0.871
X33	22.134	24.822	0.876
X33b	24.822	22.134	0.704
X34	13.783	24.822	0.876
X34b	24.822	13.783	0.642
X35	13.582	24.822	0.876
X35b	24.822	13.582	0.719
X36	22.679	24.822	0.876
X36b	24.822	22.679	0.881
X37	24.128	24.822	0.876
X37b	24.822	24.128	0.986
X38	27.074	24.822	0.876
X38b	24.822	27.074	0.771
X39	26.72	26.13	0.883
X39b	26.13	26.72	0.781
X40	21.761	26.13	0.883
X40b	26.13	21.761	0.703
X41	24.216	26.13	0.883
X41b	26.13	24.216	0.99
X42	27.907	26.13	0.883
X42b	26.13	27.907	1.053
X43	24.855	26.13	0.883
X43b	26.13	24.855	0.74
X44	22.483	26.13	0.883
X44b	26.13	22.483	0.099
X45	25.387	26.13	0.883
X45b	26.13	25.387	0.256
X46	13.783	26.13	0.883
X46b	26.13	13.783	0.642
X47	13.582	26.13	0.883
X47b	26.13	13.582	0.719
X48	22.679	26.13	0.883
X48b	26.13	22.679	0.881
X49	24.128	26.13	0.883
X49b	26.13	24.128	0.986
X50	27.074	26.13	0.883
X50b	26.13	27.074	0.771
X51	24.139	26.13	0.883
X51b	26.13	24.139	1.024
X52	26.544	26.009	1.032
X52b	26.009	26.544	0.957
X53	24.512	26.009	1.032
X53b	26.009	24.512	0.928
X54	24.349	26.009	1.032
X54b	26.009	24.349	0.904
X55	26.72	26.009	1.032
X55b	26.009	26.72	0.781
X56	14.078	26.009	1.032
X56b	26.009	14.078	0.735
X57	13.76	26.009	1.032
X57b	26.009	13.76	0.764
X58	24.512	26.544	0.957
X58b	26.544	24.512	0.928
X59	24.349	26.544	0.957
X59b	26.544	24.349	0.904
X60	14.078	26.544	0.957
X60b	26.544	14.078	0.735
X61	13.76	26.544	0.957
X61b	26.544	13.76	0.764
X62	24.349	24.512	0.928
X62b	24.512	24.349	0.904
X63	21.761	26.72	0.781
X63b	26.72	21.761	0.703
X64	13.801	26.72	0.781
X64b	26.72	13.801	0.75
X65	24.855	26.72	0.781
X65b	26.72	24.855	0.74
X66	22.483	26.72	0.781
X66b	26.72	22.483	0.099
X67	25.387	26.72	0.781
X67b	26.72	25.387	0.256
X68	22.134	26.72	0.781
X68b	26.72	22.134	0.704
X69	25.595	26.72	0.781
X69b	26.72	25.595	0.854
X70	13.783	26.72	0.781
X70b	26.72	13.783	0.642
X71	24.128	26.72	0.781
X71b	26.72	24.128	0.986
X72	22.798	26.72	0.781
X72b	26.72	22.798	0.951
X73	14.078	26.72	0.781
X73b	26.72	14.078	0.735
X74	13.801	21.761	0.703
X74b	21.761	13.801	0.75
X75	22.483	21.761	0.703
X75b	21.761	22.483	0.099
X76	25.387	21.761	0.703
X76b	21.761	25.387	0.256
X77	25.488	21.761	0.703
X77b	21.761	25.488	0.871
X78	22.134	21.761	0.703
X78b	21.761	22.134	0.704
X79	25.595	21.761	0.703
X79b	21.761	25.595	0.854
X80	25.227	21.761	0.703
X80b	21.761	25.227	0.843
X81	10.179	21.761	0.703
X81b	21.761	10.179	0.68
X82	13.783	21.761	0.703
X82b	21.761	13.783	0.642
X83	24.128	21.761	0.703
X83b	21.761	24.128	0.986
X84	27.75	21.761	0.703
X84b	21.761	27.75	0.83
X85	22.798	21.761	0.703
X85b	21.761	22.798	0.951
X86	14.078	21.761	0.703
X86b	21.761	14.078	0.735
X87	14.282	13.801	0.75
X87b	13.801	14.282	0.69
X88	22.134	13.801	0.75
X88b	13.801	22.134	0.704
X89	25.595	13.801	0.75
X89b	13.801	25.595	0.854
X90	25.849	13.801	0.75
X90b	13.801	25.849	0.734
X91	23.182	13.801	0.75
X91b	13.801	23.182	0.723
X92	25.227	13.801	0.75
X92b	13.801	25.227	0.843
X93	24.822	13.801	0.75
X93b	13.801	24.822	0.912
X94	10.179	13.801	0.75
X94b	13.801	10.179	0.68
X95	13.783	13.801	0.75
X95b	13.801	13.783	0.642
X96	14.668	13.801	0.75
X96b	13.801	14.668	0.682
X97	27.75	13.801	0.75
X97b	13.801	27.75	0.83
X98	22.798	13.801	0.75
X98b	13.801	22.798	0.951
X99	26.525	23.905	0.987
X99b	23.905	26.525	0.915
X100	14.282	23.905	0.987
X100b	23.905	14.282	0.69
X101	14.668	23.905	0.987
X101b	23.905	14.668	0.682
X102	21.031	23.905	0.987
X102b	23.905	21.031	0.932
X103	22.79	23.905	0.987
X103b	23.905	22.79	0.96
X104	27.75	23.905	0.987
X104b	23.905	27.75	0.83
X105	22.798	23.905	0.987
X105b	23.905	22.798	0.951
X106	14.078	23.905	0.987
X106b	23.905	14.078	0.735
X107	14.282	26.525	0.915
X107b	26.525	14.282	0.69
X108	21.031	26.525	0.915
X108b	26.525	21.031	0.932
X109	22.79	26.525	0.915
X109b	26.525	22.79	0.96
X110	27.75	26.525	0.915
X110b	26.525	27.75	0.83
X111	22.798	26.525	0.915
X111b	26.525	22.798	0.951
X112	14.078	26.525	0.915
X112b	26.525	14.078	0.735
X113	23.003	14.282	0.69
X113b	14.282	23.003	1.014
X114	22.109	14.282	0.69
X114b	14.282	22.109	0.992
X115	25.595	14.282	0.69
X115b	14.282	25.595	0.854
X116	22.973	14.282	0.69
X116b	14.282	22.973	0.952
X117	25.849	14.282	0.69
X117b	14.282	25.849	0.734
X118	23.182	14.282	0.69
X118b	14.282	23.182	0.723
X119	14.668	14.282	0.69
X119b	14.282	14.668	0.682
X120	21.031	14.282	0.69
X120b	14.282	21.031	0.932
X121	22.79	14.282	0.69
X121b	14.282	22.79	0.96
X122	27.75	14.282	0.69
X122b	14.282	27.75	0.83
X123	22.798	14.282	0.69
X123b	14.282	22.798	0.951
X124	25.319	23.003	1.014
X124b	23.003	25.319	1.037
X125	25.542	23.003	1.014
X125b	23.003	25.542	0.977
X126	22.109	23.003	1.014
X126b	23.003	22.109	0.992
X127	14.668	23.003	1.014
X127b	23.003	14.668	0.682
X128	21.031	23.003	1.014
X128b	23.003	21.031	0.932
X129	22.79	23.003	1.014
X129b	23.003	22.79	0.96
X130	25.542	25.319	1.037
X130b	25.319	25.542	0.977
X131	22.109	25.319	1.037
X131b	25.319	22.109	0.992
X132	21.031	25.319	1.037
X132b	25.319	21.031	0.932
X133	22.79	25.319	1.037
X133b	25.319	22.79	0.96
X134	22.109	25.542	0.977
X134b	25.542	22.109	0.992
X135	21.031	25.542	0.977
X135b	25.542	21.031	0.932
X136	22.79	25.542	0.977
X136b	25.542	22.79	0.96
X137	14.668	22.109	0.992
X137b	22.109	14.668	0.682
X138	21.031	22.109	0.992
X138b	22.109	21.031	0.932
X139	22.79	22.109	0.992
X139b	22.109	22.79	0.96
X140	24.216	25.759	1.042
X140b	25.759	24.216	0.99
X141	27.907	25.759	1.042
X141b	25.759	27.907	1.053
X142	27.074	25.759	1.042
X142b	25.759	27.074	0.771
X143	24.139	25.759	1.042
X143b	25.759	24.139	1.024
