label	C1	C2	H2	intensity
X1	23.988	24.905	0.894	9.6487e-01
X1b	24.905	23.988	0.885	9.6487e-01
X2	24.512	24.905	0.894	1.2449e-03
X2b	24.905	24.512	0.928	1.2449e-03
X3	23.736	27.177	0.867	9.6914e-01
X3b	27.177	23.736	0.921	9.6914e-01
X4	26.130	27.177	0.867	1.8442e-03
X4b	27.177	26.130	0.883	1.8442e-03
X5	25.759	27.177	0.867	8.0276e-03
X5b	27.177	25.759	1.042	8.0276e-03
X6	24.216	27.177	0.867	4.5471e-02
X6b	27.177	24.216	0.990	4.5471e-02
X7	27.907	27.177	0.867	2.4756e-03
X7b	27.177	27.907	1.053	2.4756e-03
X8	27.074	27.177	0.867	1.5145e-02
X8b	27.177	27.074	0.771	1.5145e-02
X9	24.139	27.177	0.867	1.6155e-02
X9b	27.177	24.139	1.024	1.6155e-02
X10	10.068	27.177	0.867	3.4830e-03
X10b	27.177	10.068	0.250	3.4830e-03
X11	13.760	27.177	0.867	7.3947e-03
X11b	27.177	13.760	0.764	7.3947e-03
X12	26.080	27.177	0.867	7.5589e-02
X12b	27.177	26.080	0.825	7.5589e-02
X13	22.503	27.177	0.867	4.8665e-03
X13b	27.177	22.503	0.833	4.8665e-03
X14	24.822	23.736	0.921	6.6573e-03
X14b	23.736	24.822	0.876	2.0406e-03
X15	26.130	23.736	0.921	2.3125e-02
X15b	23.736	26.130	0.883	2.3125e-02
X16	25.759	23.736	0.921	4.8050e-03
X16b	23.736	25.759	1.042	4.8050e-03
X17	24.216	23.736	0.921	6.3556e-02
X17b	23.736	24.216	0.990	6.3556e-02
X18	27.907	23.736	0.921	1.8899e-02
X18b	23.736	27.907	1.053	1.8899e-02
X19	24.855	23.736	0.921	6.6573e-03
X19b	23.736	24.855	0.740	6.6573e-03
X20	27.074	23.736	0.921	1.2749e-01
X20b	23.736	27.074	0.771	1.2749e-01
X21	24.139	23.736	0.921	2.2927e-02
X21b	23.736	24.139	1.024	2.2927e-02
X22	10.068	23.736	0.921	2.4804e-03
X22b	23.736	10.068	0.250	2.4804e-03
X23	13.760	23.736	0.921	5.1921e-03
X23b	23.736	13.760	0.764	5.1921e-03
X24	26.080	23.736	0.921	3.7252e-03
X24b	23.736	26.080	0.825	3.7252e-03
X25	26.130	24.822	0.876	9.5580e-01
X25b	24.822	26.130	0.883	9.5580e-01
X26	26.720	24.822	0.876	5.0502e-02
X26b	24.822	26.720	0.781	5.0502e-02
X27	21.761	24.822	0.876	2.4032e-02
X27b	24.822	21.761	0.703	2.4032e-02
X28	27.907	24.822	0.876	2.4468e-03
X28b	24.822	27.907	1.053	9.7821e-01
X29	24.855	24.822	0.876	5.9964e-03
X29b	24.822	24.855	0.740	5.9964e-03
X30	22.483	24.822	0.876	3.9776e-03
X30b	24.822	22.483	0.099	5.0536e-03
X31	25.387	24.822	0.876	3.4620e-02
X31b	24.822	25.387	0.256	7.1026e-02
X32	25.488	24.822	0.876	1.8246e-03
X32b	24.822	25.488	0.871	1.8246e-03
X33	22.134	24.822	0.876	2.4806e-03
X33b	24.822	22.134	0.704	2.4806e-03
X34	13.783	24.822	0.876	1.5739e-02
X34b	24.822	13.783	0.642	1.5739e-02
X35	13.582	24.822	0.876	1.0311e-02
X35b	24.822	13.582	0.719	1.0311e-02
X36	22.679	24.822	0.876	2.9491e-03
X36b	24.822	22.679	0.881	2.2234e-02
X37	24.128	24.822	0.876	4.9587e-02
X37b	24.822	24.128	0.986	4.9587e-02
X38	27.074	24.822	0.876	3.6841e-03
X38b	24.822	27.074	0.771	6.9314e-03
X39	26.720	26.130	0.883	2.0705e-02
X39b	26.130	26.720	0.781	2.0705e-02
X40	21.761	26.130	0.883	4.1425e-03
X40b	26.130	21.761	0.703	4.1425e-03
X41	24.216	26.130	0.883	1.5885e-03
X41b	26.130	24.216	0.990	1.5885e-03
X42	27.907	26.130	0.883	2.1469e-02
X42b	26.130	27.907	1.053	2.1469e-02
X43	24.855	26.130	0.883	9.5580e-01
X43b	26.130	24.855	0.740	5.4220e-02
X44	22.483	26.130	0.883	2.4865e-03
X44b	26.130	22.483	0.099	2.4865e-03
X45	25.387	26.130	0.883	3.4699e-02
X45b	26.130	25.387	0.256	3.4699e-02
X46	13.783	26.130	0.883	1.4161e-03
X46b	26.130	13.783	0.642	1.4161e-03
X47	13.582	26.130	0.883	3.4766e-03
X47b	26.130	13.582	0.719	3.4766e-03
X48	22.679	26.130	0.883	4.2136e-03
X48b	26.130	22.679	0.881	4.2136e-03
X49	24.128	26.130	0.883	4.1513e-02
X49b	26.130	24.128	0.986	4.1513e-02
X50	27.074	26.130	0.883	2.6801e-02
