label	C1	C2	H2	intensity
X1	24.560	25.390	0.340	8.6612e-01
X2	25.390	24.560	0.560	8.6612e-01
X3	14.890	25.390	0.340	6.4259e-03
X4	25.390	14.890	0.340	6.4259e-03
X5	19.940	25.390	0.340	1.3728e-03
X6	25.390	19.940	0.500	1.3728e-03
X7	10.490	25.390	0.340	2.4366e-03
X8	25.390	10.490	0.590	2.4366e-03
X9	21.020	25.390	0.340	1.0875e-02
X10	25.390	21.020	0.360	1.0875e-02
X11	22.740	25.390	0.340	2.9837e-02
X12	25.390	22.740	0.790	2.9837e-02
X13	14.200	25.390	0.340	1.1994e-03
X14	25.390	14.200	0.770	1.1994e-03
X15	25.710	25.390	0.340	7.7638e-03
X16	25.390	25.710	0.960	7.7638e-03
X17	22.950	25.390	0.340	3.4603e-03
X18	25.390	22.950	0.980	3.4603e-03
X19	18.220	25.390	0.340	9.5020e-03
X20	25.390	18.220	1.320	9.5020e-03
X21	23.760	25.390	0.340	7.7655e-04
X22	25.390	23.760	0.740	7.7655e-04
X23	21.460	24.560	0.560	1.2498e-03
X24	24.560	21.460	0.930	1.2498e-03
X25	14.890	24.560	0.560	2.3495e-03
X26	24.560	14.890	0.340	2.3495e-03
X27	10.490	24.560	0.560	1.2396e-03
X28	24.560	10.490	0.590	1.2396e-03
X29	21.020	24.560	0.560	2.6601e-03
X30	24.560	21.020	0.360	2.6601e-03
X31	22.740	24.560	0.560	3.6379e-03
X32	24.560	22.740	0.790	3.6379e-03
X33	14.200	24.560	0.560	9.7288e-04
X34	24.560	14.200	0.770	9.7288e-04
X35	25.710	24.560	0.560	1.9913e-02
X36	24.560	25.710	0.960	1.9913e-02
X37	22.950	24.560	0.560	4.0508e-03
X38	24.560	22.950	0.980	4.0508e-03
X39	18.220	24.560	0.560	3.0644e-02
X40	24.560	18.220	1.320	3.0644e-02
X41	21.460	21.180	0.890	8.0111e-01
X42	21.180	21.460	0.930	8.0111e-01
X43	14.890	21.180	0.890	8.0243e-04
X44	21.180	14.890	0.340	8.0243e-04
X45	21.020	21.180	0.890	7.7584e-04
X46	21.180	21.020	0.360	7.7584e-04
X47	21.920	21.180	0.890	1.2286e-02
X48	21.180	21.920	1.250	1.2286e-02
X49	14.890	21.460	0.930	7.7230e-04
X50	21.460	14.890	0.340	7.7230e-04
X51	21.020	21.460	0.930	1.5096e-03
X52	21.460	21.020	0.360	1.5096e-03
X53	21.920	21.460	0.930	1.3715e-02
X54	21.460	21.920	1.250	1.3715e-02
X55	25.100	14.890	0.340	1.4938e-02
X56	14.890	25.100	0.880	1.4938e-02
X57	27.220	14.890	0.340	1.7807e-02
X58	14.890	27.220	0.640	1.7807e-02
X59	22.620	14.890	0.340	8.5458e-04
X60	14.890	22.620	0.830	8.5458e-04
X61	21.020	14.890	0.340	1.3256e-01
X62	14.890	21.020	0.360	1.3256e-01
X63	22.740	14.890	0.340	7.7209e-03
X64	14.890	22.740	0.790	7.7209e-03
X65	23.160	14.890	0.340	2.8781e-03
X66	14.890	23.160	0.970	2.8781e-03
X67	20.970	14.890	0.340	2.2022e-02
X68	14.890	20.970	0.780	2.2022e-02
X69	14.200	14.890	0.340	1.1113e-02
X70	14.890	14.200	0.770	1.1113e-02
X71	26.060	14.890	0.340	8.4631e-04
X72	14.890	26.060	0.690	8.4631e-04
X73	23.760	14.890	0.340	2.4677e-03
X74	14.890	23.760	0.740	2.4677e-03
X75	27.680	14.890	0.340	1.2949e-03
X76	14.890	27.680	1.060	1.2949e-03
X77	25.100	13.560	0.130	5.2754e-03
X78	13.560	25.100	0.880	5.2754e-03
X79	27.220	13.560	0.130	4.4552e-02
X80	13.560	27.220	0.640	4.4552e-02
X81	23.160	13.560	0.130	2.2759e-03
X82	13.560	23.160	0.970	2.2759e-03
X83	20.970	13.560	0.130	9.0361e-04
X84	13.560	20.970	0.780	9.0361e-04
X85	26.870	13.560	0.130	9.6790e-04
X86	13.560	26.870	1.130	4.2947e-04
X87	22.930	13.560	0.130	7.9920e-03
X88	13.560	22.930	0.810	7.9920e-03
X89	25.530	13.560	0.130	1.0209e-02
X90	13.560	25.530	0.890	1.0209e-02
X91	24.230	13.560	0.130	8.4736e-04
X92	13.560	24.230	0.860	8.4736e-04
X93	27.680	13.560	0.130	1.0339e-03
X94	13.560	27.680	1.060	1.0339e-03
X95	21.690	13.560	0.130	5.2043e-03
X96	13.560	21.690	1.010	5.2043e-03
X97	22.560	13.560	0.130	2.0065e-03
X98	13.560	22.560	0.900	2.0065e-03
X99	23.300	13.560	0.130	2.4777e-03
X100	13.560	23.300	0.830	2.4777e-03
X101	27.220	25.100	0.880	8.1696e-01
X102	25.100	27.220	0.640	8.1696e-01
X103	17.770	25.100	0.880	1.3547e-03
X104	25.100	17.770	1.680	1.3547e-03
X105	22.620	25.100	0.880	7.6663e-03
X106	25.100	22.620	0.830	7.6663e-03
X107	23.760	25.100	0.880	8.2527e-03
X108	25.100	23.760	1.270	8.2527e-03
X109	21.020	25.100	0.880	1.9207e-03
X110	25.100	21.020	0.360	1.9207e-03
X111	23.160	25.100	0.880	2.9700e-03
X112	25.100	23.160	0.970	2.9700e-03
X113	20.970	25.100	0.880	8.1436e-03
X114	25.100	20.970	0.780	8.1436e-03
X115	14.200	25.100	0.880	1.9991e-03
X116	25.100	14.200	0.770	1.9991e-03
X117	23.760	25.100	0.880	8.2527e-03
X118	25.100	23.760	0.740	2.3351e-03
