label	C1	C2	H2
B1	22.364	24.486	0.915
B1b	24.486	22.364	0.868
B2	23.955	21.566	0.463
B2b	21.566	23.955	0.739
B3	22.556	20.604	0.541
B3b	20.604	22.556	0.137
B4	20.071	24.621	0.295
B4b	24.621	20.071	-0.285
B5	22.144	25.838	0.755
B5b	25.838	22.144	0.817
B6	24.763	20.943	0.678
B6b	20.943	24.763	1.051
B7	22.903	26.301	0.806
B7b	26.301	22.903	0.827
B8	22.305	25.988	0.305
B8b	25.988	22.305	0.732
B9	19.976	24.942	1.101
B9b	24.942	19.976	0.673
B10	24.554	25.428	0.904
B10b	25.428	24.554	0.751
B11	20.637	21.936	0.811
B11b	21.936	20.637	0.815
B12	20.081	24.801	-0.085
B12b	24.801	20.081	-0.21
B13	25.333	23.547	0.823
B13b	23.547	25.333	0.674
B14	24.612	25.353	0.901
B14b	25.353	24.612	0.903
B15	18.64	20.674	0.759
B15b	20.674	18.64	0.683
B16	22.292	20.318	0.852
B16b	20.318	22.292	0.988
B17	22.218	21.311	0.958
B17b	21.311	22.218	0.857
B18	26.534	25.348	0.578
B18b	25.348	26.534	0.593
B19	17.697	19.382	0.23
B19b	19.382	17.697	-0.834
B20	18.891	21.619	0.737
B20b	21.619	18.891	0.687
B21	24.322	24.941	0.572
B21b	24.941	24.322	0.607
B22	26.304	23.192	0.768
B22b	23.192	26.304	0.748
B23	21.862	27.936	0.456
B23b	27.936	21.862	-0.448
B24	22.805	21.207	0.848
B24b	21.207	22.805	0.924
B25	25.567	22.279	1.178
B25b	22.279	25.567	1.376
B26	26.758	26.784	0.611
B26b	26.784	26.758	0.726
B27	22.737	24.39	-0.082
B27b	24.39	22.737	0.359
B28	23.7	21.75	0.407
B28b	21.75	23.7	0.743
B29	18.759	21.345	0.734
B29b	21.345	18.759	0.541
B30	19.366	19.42	0.703
B30b	19.42	19.366	0.205
B31	26.102	22.639	0.663
B31b	22.639	26.102	0.813
B32	22.68	24.801	0.768
B32b	24.801	22.68	0.501
B33	22.536	28.067	1.09
B33b	28.067	22.536	0.904
B34	21.929	21.989	0.8
B34b	21.989	21.929	0.88
B35	24.072	21.754	0.68
B35b	21.754	24.072	-0.499
B36	24.834	25.413	0.876
B36b	25.413	24.834	1.069
B37	22.5	25.156	0.804
B37b	25.156	22.5	0.699
B38	24.407	24.913	0.632
B38b	24.913	24.407	0.715
B39	21.191	19.992	0.651
B39b	19.992	21.191	0.648
B40	21.02	22.279	0.898
B40b	22.279	21.02	0.924
B41	22.419	26.885	0.876
B41b	26.885	22.419	0.655
B42	21.43	23.138	0.833
B42b	23.138	21.43	0.785
B43	18.142	21.032	0.423
B43b	21.032	18.142	0.642
B44	23.633	24.614	0.945
B44b	24.614	23.633	0.895
B45	26.157	25.696	0.881
B45b	25.696	26.157	0.768
B46	26.26	25.289	0.601
B46b	25.289	26.26	0.771
B47	24.044	25.478	0.93
B47b	25.478	24.044	0.778
B48	25.239	23.575	1.052
B48b	23.575	25.239	0.821
