label	C1	C2	H2
X1	15.537	12.833	0.82
X1b	12.833	15.537	0.008
X2	22.364	24.486	0.915
X2b	24.486	22.364	0.868
X3	15.537	24.486	0.915
X3b	24.486	15.537	0.008
X4	20.943	24.486	0.915
X4b	24.486	20.943	0.678
X5	24.763	24.486	0.915
X5b	24.486	24.763	1.051
X6	14.919	24.486	0.915
X6b	24.486	14.919	0.778
X7	15.537	22.364	0.868
X7b	22.364	15.537	0.008
X8	20.943	22.364	0.868
X8b	22.364	20.943	0.678
X9	24.763	22.364	0.868
X9b	22.364	24.763	1.051
X10	14.919	22.364	0.868
X10b	22.364	14.919	0.778
X11	23.955	15.537	0.008
X11b	15.537	23.955	0.739
X12	14.919	15.537	0.008
X12b	15.537	14.919	0.778
X13	23.955	21.566	0.463
X13b	21.566	23.955	0.739
X14	20.604	21.566	0.463
X14b	21.566	20.604	0.541
X15	22.556	21.566	0.463
X15b	21.566	22.556	0.137
X16	24.621	21.566	0.463
X16b	21.566	24.621	0.295
X17	20.071	21.566	0.463
X17b	21.566	20.071	-0.285
X18	20.364	21.566	0.463
X18b	21.566	20.364	-0.085
X19	20.604	23.955	0.739
X19b	23.955	20.604	0.541
X20	22.556	23.955	0.739
X20b	23.955	22.556	0.137
X21	24.621	23.955	0.739
X21b	23.955	24.621	0.295
X22	20.071	23.955	0.739
X22b	23.955	20.071	-0.285
X23	13.198	23.955	0.739
X23b	23.955	13.198	0.745
X24	20.967	23.955	0.739
X24b	23.955	20.967	0.163
X25	14.919	23.955	0.739
X25b	23.955	14.919	0.778
X26	24.066	23.955	0.739
X26b	23.955	24.066	1.105
X27	13.82	23.955	0.739
X27b	23.955	13.82	0.871
X28	22.556	20.604	0.541
X28b	20.604	22.556	0.137
X29	24.621	20.604	0.541
X29b	20.604	24.621	0.295
X30	20.071	20.604	0.541
X30b	20.604	20.071	-0.285
X31	25.838	20.604	0.541
X31b	20.604	25.838	0.755
X32	25.289	20.604	0.541
X32b	20.604	25.289	0.601
X33	26.26	20.604	0.541
X33b	20.604	26.26	0.771
X34	13.82	20.604	0.541
X34b	20.604	13.82	0.871
X35	23.064	20.604	0.541
X35b	20.604	23.064	0.863
X36	24.621	22.556	0.137
X36b	22.556	24.621	0.295
X37	20.071	22.556	0.137
X37b	22.556	20.071	-0.285
X38	25.289	22.556	0.137
X38b	22.556	25.289	0.601
X39	26.26	22.556	0.137
X39b	22.556	26.26	0.771
X40	13.82	22.556	0.137
X40b	22.556	13.82	0.871
X41	20.071	24.621	0.295
X41b	24.621	20.071	-0.285
X42	25.838	24.621	0.295
X42b	24.621	25.838	0.755
X43	22.144	24.621	0.295
X43b	24.621	22.144	0.817
X44	25.838	20.071	-0.285
X44b	20.071	25.838	0.755
X45	22.144	20.071	-0.285
X45b	20.071	22.144	0.817
X46	23.064	20.071	-0.285
X46b	20.071	23.064	0.863
X47	22.095	20.071	-0.285
X47b	20.071	22.095	0.807
X48	22.144	25.838	0.755
X48b	25.838	22.144	0.817
X49	23.064	25.838	0.755
X49b	25.838	23.064	0.863
X50	25.825	25.838	0.755
X50b	25.838	25.825	1.033
X51	26.081	25.838	0.755
X51b	25.838	26.081	0.718
X52	22.095	25.838	0.755
X52b	25.838	22.095	0.807
X53	23.064	22.144	0.817
