label	C1	C2	H2	intensity
X1	15.537	12.833	0.820	1.0100e-03
X1b	12.833	15.537	0.008	1.0100e-03
X2	22.364	24.486	0.915	7.0799e-01
X2b	24.486	22.364	0.868	7.0799e-01
X3	15.537	24.486	0.915	2.4027e-02
X3b	24.486	15.537	0.008	2.4027e-02
X4	20.943	24.486	0.915	2.4025e-03
X4b	24.486	20.943	0.678	2.4025e-03
X5	24.763	24.486	0.915	5.6318e-03
X5b	24.486	24.763	1.051	5.6318e-03
X6	14.919	24.486	0.915	1.0750e-02
X6b	24.486	14.919	0.778	1.0750e-02
X7	15.537	22.364	0.868	3.0747e-03
X7b	22.364	15.537	0.008	3.0747e-03
X8	20.943	22.364	0.868	1.3188e-02
X8b	22.364	20.943	0.678	1.3188e-02
X9	24.763	22.364	0.868	1.0834e-02
X9b	22.364	24.763	1.051	1.0834e-02
X10	14.919	22.364	0.868	3.7669e-03
X10b	22.364	14.919	0.778	3.7669e-03
X11	23.955	15.537	0.008	7.8155e-04
X11b	15.537	23.955	0.739	7.8155e-04
X12	14.919	15.537	0.008	7.8306e-03
X12b	15.537	14.919	0.778	7.8306e-03
X13	23.955	21.566	0.463	7.6213e-01
X13b	21.566	23.955	0.739	7.6213e-01
X14	20.604	21.566	0.463	1.1495e-02
X14b	21.566	20.604	0.541	1.1495e-02
X15	22.556	21.566	0.463	1.1549e-02
X15b	21.566	22.556	0.137	1.1549e-02
X16	24.621	21.566	0.463	3.2124e-02
X16b	21.566	24.621	0.295	3.2124e-02
X17	20.071	21.566	0.463	1.2936e-02
X17b	21.566	20.071	-0.285	1.2936e-02
X18	20.364	21.566	0.463	8.7849e-04
X18b	21.566	20.364	-0.085	8.7849e-04
X19	20.604	23.955	0.739	4.2872e-03
X19b	23.955	20.604	0.541	4.2872e-03
X20	22.556	23.955	0.739	1.1614e-02
X20b	23.955	22.556	0.137	1.1614e-02
X21	24.621	23.955	0.739	1.9957e-03
X21b	23.955	24.621	0.295	1.9957e-03
X22	20.071	23.955	0.739	1.2761e-03
X22b	23.955	20.071	-0.285	1.2761e-03
X23	13.198	23.955	0.739	9.8091e-04
X23b	23.955	13.198	0.745	9.8091e-04
X24	20.967	23.955	0.739	1.0639e-03
X24b	23.955	20.967	0.163	1.0639e-03
X25	14.919	23.955	0.739	1.3822e-03
X25b	23.955	14.919	0.778	1.3822e-03
X26	24.066	23.955	0.739	1.8064e-03
X26b	23.955	24.066	1.105	1.8064e-03
X27	13.820	23.955	0.739	7.5114e-04
X27b	23.955	13.820	0.871	7.5114e-04
X28	22.556	20.604	0.541	6.3525e-01
X28b	20.604	22.556	0.137	6.3525e-01
X29	24.621	20.604	0.541	3.0112e-03
X29b	20.604	24.621	0.295	3.0112e-03
