label	C1	C2	H2
B1	23.554	25.015	0.929
B1b	25.015	23.554	0.87
B2	23.554	21.511	0.782
B2b	21.511	23.554	0.971
B3	23.199	26.498	0.855
B3b	26.498	23.199	0.912
B4	27.083	24.576	0.923
B4b	24.576	27.083	0.587
B5	23.564	21.582	0.775
B5b	21.582	23.564	0.308
B6	22.178	20.737	0.571
B6b	20.737	22.178	0.911
B7	22.143	25.398	0.741
B7b	25.398	22.143	0.773
B8	23.257	25.625	0.846
B8b	25.625	23.257	0.982
B9	26.387	24.112	0.955
B9b	24.112	26.387	0.889
B10	24.983	23.968	0.887
B10b	23.968	24.983	0.921
B11	23.802	27.578	0.819
B11b	27.578	23.802	0.786
B12	27.611	23.667	1.237
B12b	23.667	27.611	1.014
B13	24.947	25.003	1.219
B13b	25.003	24.947	1.154
B14	22.086	27.294	0.9
B14b	27.294	22.086	0.308
B15	24.162	26.815	0.862
B15b	26.815	24.162	1.053
B16	22.763	24.79	0.837
B16b	24.79	22.763	0.937
B17	21.738	25.606	0.839
B17b	25.606	21.738	0.797
B18	24.456	26.072	0.714
B18b	26.072	24.456	0.72
B19	26.761	25.171	1.31
B19b	25.171	26.761	1.376
B20	25.392	22.385	0.092
B20b	22.385	25.392	0.9
B21	27.145	24.011	0.685
B21b	24.011	27.145	0.223
B22	21.957	26.033	0.838
B22b	26.033	21.957	0.64
B23	22.69	26.473	0.841
B23b	26.473	22.69	0.476
B24	22.986	27.43	0.915
B24b	27.43	22.986	0.378
B25	26.676	24.397	1.064
B25b	24.397	26.676	1.031
B26	23.627	24.839	0.923
B26b	24.839	23.627	0.919
B27	23.105	25.202	0.957
B27b	25.202	23.105	0.899
