label	H_ppm	C_ppm	res_type
P1	0.885	12.784	I
P2	0.929	25.015	L
P3	0.87	23.554	L
P4	0.782	21.511	V
P5	0.971	23.554	V
P6	0.855	26.498	L
P7	0.912	23.199	L
P8	0.943	11.911	I
P9	0.923	24.576	L
P10	0.587	27.083	L
P11	0.775	21.582	V
P12	0.308	23.564	V
P13	-0.328	10.992	I
P14	0.571	20.737	V
P15	0.911	22.178	V
P16	0.679	13.862	I
P17	0.741	25.398	L
P18	0.773	22.143	L
P19	0.846	25.625	L
P20	0.982	23.257	L
P21	0.955	24.112	L
P22	0.889	26.387	L
P23	0.887	23.968	L
P24	0.921	24.983	L
P25	0.756	9.127	I
P26	0.819	27.578	L
P27	0.786	23.802	L
P28	1.237	23.667	L
P29	1.014	27.611	L
P30	1.219	25.003	L
P31	1.154	24.947	L
P32	0.477	8.011	I
P33	0.9	27.294	L
P34	0.308	22.086	L
P35	0.862	26.815	L
P36	1.053	24.162	L
P37	0.837	24.79	L
P38	0.937	22.763	L
P39	0.839	25.606	L
P40	0.797	21.738	L
P41	0.714	26.072	L
P42	0.72	24.456	L
P43	1.31	25.171	L
P44	1.376	26.761	L
P45	0.092	22.385	L
P46	0.9	25.392	L
P47	0.685	24.011	L
P48	0.223	27.145	L
P49	0.838	26.033	L
P50	0.64	21.957	L
P51	-0.383	12.554	I
P52	0.841	26.473	L
P53	0.476	22.69	L
P54	0.915	27.43	L
P55	0.378	22.986	L
P56	1.064	24.397	L
P57	1.031	26.676	L
P58	0.792	14.531	I
P59	0.923	24.839	L
P60	0.919	23.627	L
P61	0.903	13.334	I
P62	0.957	25.202	L
P63	0.899	23.105	L
