label	C1	C2	H2
X1	25.015	12.784	0.885
X1b	12.784	25.015	0.929
X2	23.554	12.784	0.885
X2b	12.784	23.554	0.87
X3	26.498	12.784	0.885
X3b	12.784	26.498	0.855
X4	23.199	12.784	0.885
X4b	12.784	23.199	0.912
X5	24.839	12.784	0.885
X5b	12.784	24.839	0.923
X6	23.627	12.784	0.885
X6b	12.784	23.627	0.919
X7	23.554	25.015	0.929
X7b	25.015	23.554	0.87
X8	24.839	25.015	0.929
X8b	25.015	24.839	0.923
X9	23.627	25.015	0.929
X9b	25.015	23.627	0.919
X10	13.334	25.015	0.929
X10b	25.015	13.334	0.903
X11	25.202	25.015	0.929
X11b	25.015	25.202	0.957
X12	23.105	25.015	0.929
X12b	25.015	23.105	0.899
X13	24.839	23.554	0.87
X13b	23.554	24.839	0.923
X14	23.627	23.554	0.87
X14b	23.554	23.627	0.919
X15	25.202	23.554	0.87
X15b	23.554	25.202	0.957
X16	23.105	23.554	0.87
X16b	23.554	23.105	0.899
X17	23.554	21.511	0.782
X17b	21.511	23.554	0.971
X18	26.498	21.511	0.782
X18b	21.511	26.498	0.855
X19	25.398	21.511	0.782
X19b	21.511	25.398	0.741
X20	22.143	21.511	0.782
X20b	21.511	22.143	0.773
X21	23.968	21.511	0.782
X21b	21.511	23.968	0.887
X22	24.397	21.511	0.782
X22b	21.511	24.397	1.064
X23	26.676	21.511	0.782
X23b	21.511	26.676	1.031
X24	14.531	21.511	0.782
X24b	21.511	14.531	0.792
X25	26.498	23.554	0.971
X25b	23.554	26.498	0.855
X26	25.398	23.554	0.971
X26b	23.554	25.398	0.741
X27	22.143	23.554	0.971
X27b	23.554	22.143	0.773
X28	24.397	23.554	0.971
X28b	23.554	24.397	1.064
X29	26.676	23.554	0.971
X29b	23.554	26.676	1.031
X30	14.531	23.554	0.971
X30b	23.554	14.531	0.792
X31	23.199	26.498	0.855
X31b	26.498	23.199	0.912
X32	24.397	26.498	0.855
X32b	26.498	24.397	1.064
X33	26.676	26.498	0.855
X33b	26.498	26.676	1.031
X34	23.627	26.498	0.855
X34b	26.498	23.627	0.919
X35	24.397	23.199	0.912
X35b	23.199	24.397	1.064
X36	26.676	23.199	0.912
X36b	23.199	26.676	1.031
X37	23.564	11.911	0.943
X37b	11.911	23.564	0.308
X38	27.083	24.576	0.923
X38b	24.576	27.083	0.587
X39	21.582	24.576	0.923
X39b	24.576	21.582	0.775
X40	23.564	24.576	0.923
X40b	24.576	23.564	0.308
X41	25.003	24.576	0.923
X41b	24.576	25.003	1.219
X42	24.947	24.576	0.923
X42b	24.576	24.947	1.154
X43	8.011	24.576	0.923
X43b	24.576	8.011	0.477
X44	26.473	24.576	0.923
X44b	24.576	26.473	0.841
X45	22.69	24.576	0.923
X45b	24.576	22.69	0.476
X46	24.397	24.576	0.923
X46b	24.576	24.397	1.064
X47	26.676	24.576	0.923
X47b	24.576	26.676	1.031
X48	21.582	27.083	0.587
X48b	27.083	21.582	0.775
X49	23.564	27.083	0.587
X49b	27.083	23.564	0.308
X50	24.983	27.083	0.587
X50b	27.083	24.983	0.921
X51	25.003	27.083	0.587
X51b	27.083	25.003	1.219
X52	24.947	27.083	0.587
X52b	27.083	24.947	1.154
X53	8.011	27.083	0.587
X53b	27.083	8.011	0.477
X54	26.473	27.083	0.587
X54b	27.083	26.473	0.841
X55	24.397	27.083	0.587
X55b	27.083	24.397	1.064
X56	26.676	27.083	0.587
X56b	27.083	26.676	1.031
X57	23.564	21.582	0.775
X57b	21.582	23.564	0.308
X58	10.992	21.582	0.775
X58b	21.582	10.992	-0.328
X59	27.578	21.582	0.775
X59b	21.582	27.578	0.819
X60	23.802	21.582	0.775
X60b	21.582	23.802	0.786
X61	10.992	23.564	0.308
X61b	23.564	10.992	-0.328
X62	24.983	23.564	0.308
X62b	23.564	24.983	0.921
X63	27.578	23.564	0.308
X63b	23.564	27.578	0.819
X64	23.802	23.564	0.308
X64b	23.564	23.802	0.786
X65	8.011	23.564	0.308
X65b	23.564	8.011	0.477
X66	26.676	23.564	0.308
X66b	23.564	26.676	1.031
X67	27.578	10.992	-0.328
X67b	10.992	27.578	0.819
X68	23.802	10.992	-0.328
X68b	10.992	23.802	0.786
X69	25.003	10.992	-0.328
X69b	10.992	25.003	1.219
X70	22.178	20.737	0.571
X70b	20.737	22.178	0.911
X71	13.862	20.737	0.571
X71b	20.737	13.862	0.679
X72	22.143	20.737	0.571
X72b	20.737	22.143	0.773
X73	23.968	20.737	0.571
X73b	20.737	23.968	0.887
X74	24.983	20.737	0.571
X74b	20.737	24.983	0.921
X75	27.578	20.737	0.571
X75b	20.737	27.578	0.819
X76	23.802	20.737	0.571
X76b	20.737	23.802	0.786
X77	13.862	22.178	0.911
X77b	22.178	13.862	0.679
X78	23.968	22.178	0.911
X78b	22.178	23.968	0.887
X79	24.983	22.178	0.911
X79b	22.178	24.983	0.921
X80	27.578	22.178	0.911
X80b	22.178	27.578	0.819
X81	23.802	22.178	0.911
X81b	22.178	23.802	0.786
X82	25.398	13.862	0.679
X82b	13.862	25.398	0.741
X83	22.143	13.862	0.679
X83b	13.862	22.143	0.773
X84	23.968	13.862	0.679
X84b	13.862	23.968	0.887
X85	24.983	13.862	0.679
X85b	13.862	24.983	0.921
X86	22.143	25.398	0.741
X86b	25.398	22.143	0.773
X87	24.112	25.398	0.741
X87b	25.398	24.112	0.955
X88	23.968	25.398	0.741
X88b	25.398	23.968	0.887
X89	24.983	25.398	0.741
X89b	25.398	24.983	0.921
X90	8.011	25.398	0.741
X90b	25.398	8.011	0.477
X91	26.815	25.398	0.741
X91b	25.398	26.815	0.862
X92	24.162	25.398	0.741
X92b	25.398	24.162	1.053
X93	24.397	25.398	0.741
X93b	25.398	24.397	1.064
X94	26.676	25.398	0.741
X94b	25.398	26.676	1.031
X95	14.531	25.398	0.741
X95b	25.398	14.531	0.792
X96	23.968	22.143	0.773
X96b	22.143	23.968	0.887
X97	24.983	22.143	0.773
