label	C1	C2	H2	intensity
X1	25.015	12.784	0.885	8.3978e-03
X1b	12.784	25.015	0.929	8.3978e-03
X2	23.554	12.784	0.885	1.3498e-02
X2b	12.784	23.554	0.870	1.3498e-02
X3	26.498	12.784	0.885	2.6451e-03
X3b	12.784	26.498	0.855	2.6451e-03
X4	23.199	12.784	0.885	1.4296e-03
X4b	12.784	23.199	0.912	1.4296e-03
X5	24.839	12.784	0.885	1.6110e-03
X5b	12.784	24.839	0.923	1.6110e-03
X6	23.627	12.784	0.885	1.1056e-02
X6b	12.784	23.627	0.919	1.1056e-02
X7	23.554	25.015	0.929	9.3573e-01
X7b	25.015	23.554	0.870	9.3573e-01
X8	24.839	25.015	0.929	2.8684e-02
X8b	25.015	24.839	0.923	2.8684e-02
X9	23.627	25.015	0.929	5.1910e-02
X9b	25.015	23.627	0.919	5.1910e-02
X10	13.334	25.015	0.929	1.5354e-03
X10b	25.015	13.334	0.903	1.5354e-03
X11	25.202	25.015	0.929	2.6031e-03
X11b	25.015	25.202	0.957	2.6031e-03
X12	23.105	25.015	0.929	3.8047e-03
X12b	25.015	23.105	0.899	3.8047e-03
X13	24.839	23.554	0.870	1.1015e-02
X13b	23.554	24.839	0.923	1.1015e-02
X14	23.627	23.554	0.870	7.5871e-02
X14b	23.554	23.627	0.919	7.5871e-02
X15	25.202	23.554	0.870	1.5877e-03
X15b	23.554	25.202	0.957	1.5877e-03
X16	23.105	23.554	0.870	5.2160e-03
X16b	23.554	23.105	0.899	5.2160e-03
X17	23.554	21.511	0.782	9.2904e-01
X17b	21.511	23.554	0.971	9.2904e-01
X18	26.498	21.511	0.782	1.3008e-03
X18b	21.511	26.498	0.855	1.3008e-03
X19	25.398	21.511	0.782	6.6142e-03
X19b	21.511	25.398	0.741	6.6142e-03
X20	22.143	21.511	0.782	6.0739e-02
X20b	21.511	22.143	0.773	6.0739e-02
X21	23.968	21.511	0.782	1.5380e-03
X21b	21.511	23.968	0.887	1.5380e-03
X22	24.397	21.511	0.782	4.2741e-02
X22b	21.511	24.397	1.064	4.2741e-02
X23	26.676	21.511	0.782	4.3768e-03
X23b	21.511	26.676	1.031	4.3768e-03
X24	14.531	21.511	0.782	1.5570e-02
X24b	21.511	14.531	0.792	1.5570e-02
X25	26.498	23.554	0.971	2.1989e-03
X25b	23.554	26.498	0.855	2.1989e-03
X26	25.398	23.554	0.971	1.3597e-03
X26b	23.554	25.398	0.741	1.3597e-03
X27	22.143	23.554	0.971	4.1800e-03
X27b	23.554	22.143	0.773	4.1800e-03
X28	24.397	23.554	0.971	1.0540e-02
X28b	23.554	24.397	1.064	1.0540e-02
X29	26.676	23.554	0.971	1.2667e-03
X29b	23.554	26.676	1.031	1.2667e-03
X30	14.531	23.554	0.971	1.2039e-02
X30b	23.554	14.531	0.792	1.2039e-02
X31	23.199	26.498	0.855	1.0000e+00
X31b	26.498	23.199	0.912	1.0000e+00
X32	24.397	26.498	0.855	5.4447e-03
X32b	26.498	24.397	1.064	5.4447e-03
X33	26.676	26.498	0.855	9.7011e-04
X33b	26.498	26.676	1.031	9.7011e-04
X34	23.627	26.498	0.855	1.6534e-03
X34b	26.498	23.627	0.919	1.6534e-03
X35	24.397	23.199	0.912	3.1159e-03
X35b	23.199	24.397	1.064	3.1159e-03
X36	26.676	23.199	0.912	9.7052e-04
X36b	23.199	26.676	1.031	9.7052e-04
X37	23.564	11.911	0.943	1.6186e-03
X37b	11.911	23.564	0.308	1.6186e-03
X38	27.083	24.576	0.923	9.0372e-01
X38b	24.576	27.083	0.587	9.0372e-01
X39	21.582	24.576	0.923	1.0079e-03
X39b	24.576	21.582	0.775	1.0079e-03
X40	23.564	24.576	0.923	2.4069e-03
X40b	24.576	23.564	0.308	2.4069e-03
X41	25.003	24.576	0.923	2.0744e-02
X41b	24.576	25.003	1.219	2.0744e-02
X42	24.947	24.576	0.923	1.0901e-02
X42b	24.576	24.947	1.154	1.0901e-02
X43	8.011	24.576	0.923	3.2030e-03
X43b	24.576	8.011	0.477	3.2030e-03
X44	26.473	24.576	0.923	3.3589e-02
X44b	24.576	26.473	0.841	3.3589e-02
X45	22.690	24.576	0.923	3.0571e-03
X45b	24.576	22.690	0.476	3.0571e-03
X46	24.397	24.576	0.923	1.3902e-03
X46b	24.576	24.397	1.064	1.3902e-03
X47	26.676	24.576	0.923	6.8780e-03
X47b	24.576	26.676	1.031	6.8780e-03
X48	21.582	27.083	0.587	1.3570e-03
X48b	27.083	21.582	0.775	1.3570e-03
X49	23.564	27.083	0.587	5.8345e-03
X49b	27.083	23.564	0.308	5.8345e-03
X50	24.983	27.083	0.587	7.1256e-03
X50b	27.083	24.983	0.921	4.4809e-06
X51	25.003	27.083	0.587	7.1256e-03
X51b	27.083	25.003	1.219	7.1256e-03
X52	24.947	27.083	0.587	3.8411e-03
X52b	27.083	24.947	1.154	3.8411e-03
X53	8.011	27.083	0.587	5.2537e-02
X53b	27.083	8.011	0.477	5.2537e-02
X54	26.473	27.083	0.587	3.3174e-03
X54b	27.083	26.473	0.841	3.3174e-03
X55	24.397	27.083	0.587	6.5215e-03
X55b	27.083	24.397	1.064	6.5215e-03
X56	26.676	27.083	0.587	9.4675e-02
X56b	27.083	26.676	1.031	9.4675e-02
X57	23.564	21.582	0.775	9.9443e-01
X57b	21.582	23.564	0.308	9.9443e-01
X58	10.992	21.582	0.775	1.6346e-02
X58b	21.582	10.992	-0.328	1.6346e-02
X59	27.578	21.582	0.775	2.8595e-03
X59b	21.582	27.578	0.819	2.8595e-03
X60	23.802	21.582	0.775	2.3640e-03
X60b	21.582	23.802	0.786	2.3640e-03
X61	10.992	23.564	0.308	4.0406e-03
