label	C1	C2	H2
X1	14.33	17.86	1.663
X1b	17.86	14.33	0.6
X2	22.34	17.86	1.663
X2b	17.86	22.34	0.724
X3	19.61	17.86	1.663
X3b	17.86	19.61	0.445
X4	26.87	17.86	1.663
X4b	17.86	26.87	0.76
X5	23.37	17.86	1.663
X5b	17.86	23.37	0.63
X6	14.38	17.86	1.663
X6b	17.86	14.38	0.419
X7	22.49	14.33	0.6
X7b	14.33	22.49	0.697
X8	20.93	14.33	0.6
X8b	14.33	20.93	0.742
X9	27.17	14.33	0.6
X9b	14.33	27.17	0.71
X10	24.27	14.33	0.6
X10b	14.33	24.27	0.78
X11	22.34	14.33	0.6
X11b	14.33	22.34	0.724
X12	19.61	14.33	0.6
X12b	14.33	19.61	0.445
X13	9.48	14.33	0.6
X13b	14.33	9.48	0.584
X14	21.56	14.33	0.6
X14b	14.33	21.56	0.705
X15	23.68	14.33	0.6
X15b	14.33	23.68	0.992
X16	15.31	14.33	0.6
X16b	14.33	15.31	0.899
X17	26.55	14.33	0.6
X17b	14.33	26.55	0.78
X18	24.31	14.33	0.6
X18b	14.33	24.31	0.81
X19	26.03	14.33	0.6
X19b	14.33	26.03	0.53
X20	26.87	14.33	0.6
X20b	14.33	26.87	0.76
X21	23.37	14.33	0.6
X21b	14.33	23.37	0.63
X22	14.38	14.33	0.6
X22b	14.33	14.38	0.419
X23	25.01	14.33	0.6
X23b	14.33	25.01	0.71
X24	25.21	14.33	0.6
X24b	14.33	25.21	0.67
X25	20.93	22.49	0.697
X25b	22.49	20.93	0.742
X26	21.57	22.49	0.697
X26b	22.49	21.57	1.197
X27	22.05	22.49	0.697
X27b	22.49	22.05	1.1
X28	14.48	22.49	0.697
X28b	22.49	14.48	0.734
X29	27.17	22.49	0.697
X29b	22.49	27.17	0.71
X30	24.27	22.49	0.697
X30b	22.49	24.27	0.78
X31	21.56	22.49	0.697
X31b	22.49	21.56	0.705
X32	15.31	22.49	0.697
X32b	22.49	15.31	0.899
X33	13.59	22.49	0.697
X33b	22.49	13.59	0.793
X34	26.55	22.49	0.697
X34b	22.49	26.55	0.78
X35	24.31	22.49	0.697
X35b	22.49	24.31	0.81
X36	21.57	22.49	0.697
X36b	22.49	21.57	0.94
X37	25.01	22.49	0.697
X37b	22.49	25.01	0.71
X38	25.21	22.49	0.697
X38b	22.49	25.21	0.67
X39	23.98	22.49	0.697
X39b	22.49	23.98	0.87
X40	26.17	22.49	0.697
X40b	22.49	26.17	0.74
X41	21.57	20.93	0.742
X41b	20.93	21.57	1.197
X42	22.05	20.93	0.742
X42b	20.93	22.05	1.1
X43	14.48	20.93	0.742
X43b	20.93	14.48	0.734
X44	27.17	20.93	0.742
X44b	20.93	27.17	0.71
X45	24.27	20.93	0.742
X45b	20.93	24.27	0.78
X46	22.34	20.93	0.742
X46b	20.93	22.34	0.724
X47	21.56	20.93	0.742
X47b	20.93	21.56	0.705
X48	23.68	20.93	0.742
X48b	20.93	23.68	0.992
X49	15.31	20.93	0.742
X49b	20.93	15.31	0.899
X50	26.55	20.93	0.742
X50b	20.93	26.55	0.78
X51	24.31	20.93	0.742
X51b	20.93	24.31	0.81
X52	21.57	20.93	0.742
X52b	20.93	21.57	0.94
X53	25.01	20.93	0.742
X53b	20.93	25.01	0.71
X54	25.21	20.93	0.742
X54b	20.93	25.21	0.67
X55	23.98	20.93	0.742
X55b	20.93	23.98	0.87
X56	26.17	20.93	0.742
X56b	20.93	26.17	0.74
X57	23.92	21.57	1.197
X57b	21.57	23.92	0.99
X58	21.89	21.57	1.197
X58b	21.57	21.89	1.27
X59	22.05	21.57	1.197
X59b	21.57	22.05	1.1
X60	14.48	21.57	1.197
X60b	21.57	14.48	0.734
X61	15.31	21.57	1.197
X61b	21.57	15.31	0.899
X62	13.59	21.57	1.197
X62b	21.57	13.59	0.793
X63	23.98	21.57	1.197
X63b	21.57	23.98	0.87
X64	26.17	21.57	1.197
X64b	21.57	26.17	0.74
X65	25.0	21.57	1.197
X65b	21.57	25.0	0.97
X66	24.04	21.57	1.197
X66b	21.57	24.04	0.87
X67	23.92	25.33	1.05
X67b	25.33	23.92	0.99
X68	21.89	25.33	1.05
X68b	25.33	21.89	1.27
X69	21.48	25.33	1.05
X69b	25.33	21.48	0.947
X70	20.86	25.33	1.05
X70b	25.33	20.86	0.854
X71	25.0	25.33	1.05
X71b	25.33	25.0	0.97
X72	21.89	23.92	0.99
X72b	23.92	21.89	1.27
X73	21.48	23.92	0.99
X73b	23.92	21.48	0.947
X74	20.86	23.92	0.99
X74b	23.92	20.86	0.854
X75	24.04	21.89	1.27
X75b	21.89	24.04	0.87
X76	14.48	22.05	1.1
X76b	22.05	14.48	0.734
X77	21.87	22.05	1.1
X77b	22.05	21.87	1.13
X78	21.57	22.05	1.1
X78b	22.05	21.57	0.94
X79	21.87	14.48	0.734
X79b	14.48	21.87	1.13
X80	27.17	14.48	0.734
X80b	14.48	27.17	0.71
X81	24.27	14.48	0.734
X81b	14.48	24.27	0.78
X82	15.31	14.48	0.734
X82b	14.48	15.31	0.899
X83	13.59	14.48	0.734
X83b	14.48	13.59	0.793
X84	26.17	14.48	0.734
X84b	14.48	26.17	0.74
X85	24.27	27.17	0.71
X85b	27.17	24.27	0.78
X86	22.34	27.17	0.71
X86b	27.17	22.34	0.724
X87	19.61	27.17	0.71
X87b	27.17	19.61	0.445
X88	21.56	27.17	0.71
X88b	27.17	21.56	0.705
X89	23.68	27.17	0.71
X89b	27.17	23.68	0.992
X90	15.31	27.17	0.71
X90b	27.17	15.31	0.899
X91	22.34	24.27	0.78
X91b	24.27	22.34	0.724
X92	19.61	24.27	0.78
X92b	24.27	19.61	0.445
X93	21.56	24.27	0.78
X93b	24.27	21.56	0.705
X94	23.68	24.27	0.78
X94b	24.27	23.68	0.992
X95	15.31	24.27	0.78
X95b	24.27	15.31	0.899
X96	26.55	24.27	0.78
X96b	24.27	26.55	0.78
X97	24.31	24.27	0.78
X97b	24.27	24.31	0.81
X98	26.87	24.27	0.78
X98b	24.27	26.87	0.76
X99	23.37	24.27	0.78
X99b	24.27	23.37	0.63
X100	25.01	24.27	0.78
X100b	24.27	25.01	0.71
X101	25.21	24.27	0.78
X101b	24.27	25.21	0.67
X102	19.61	22.34	0.724
X102b	22.34	19.61	0.445
X103	21.56	22.34	0.724
X103b	22.34	21.56	0.705
X104	23.68	22.34	0.724
X104b	22.34	23.68	0.992
X105	26.87	22.34	0.724
X105b	22.34	26.87	0.76
X106	23.37	22.34	0.724
X106b	22.34	23.37	0.63
X107	25.01	22.34	0.724
X107b	22.34	25.01	0.71
X108	21.56	19.61	0.445
X108b	19.61	21.56	0.705
X109	23.68	19.61	0.445
X109b	19.61	23.68	0.992
X110	26.87	19.61	0.445
X110b	19.61	26.87	0.76
X111	23.37	19.61	0.445
X111b	19.61	23.37	0.63
X112	14.38	19.61	0.445
X112b	19.61	14.38	0.419
X113	25.01	19.61	0.445
X113b	19.61	25.01	0.71
X114	9.48	22.19	1.28
X114b	22.19	9.48	0.584
X115	22.27	22.19	1.28
X115b	22.19	22.27	1.13
X116	21.56	9.48	0.584
X116b	9.48	21.56	0.705
X117	23.68	9.48	0.584
X117b	9.48	23.68	0.992
X118	26.55	9.48	0.584
X118b	9.48	26.55	0.78
X119	24.31	9.48	0.584
X119b	9.48	24.31	0.81
X120	26.03	9.48	0.584
X120b	9.48	26.03	0.53
X121	19.69	9.48	0.584
X121b	9.48	19.69	-0.15
X122	22.27	9.48	0.584
X122b	9.48	22.27	1.13
X123	26.87	9.48	0.584
X123b	9.48	26.87	0.76
X124	23.37	9.48	0.584
X124b	9.48	23.37	0.63
X125	14.38	9.48	0.584
X125b	9.48	14.38	0.419
X126	25.01	9.48	0.584
X126b	9.48	25.01	0.71
X127	25.21	9.48	0.584
X127b	9.48	25.21	0.67
X128	23.68	21.56	0.705
X128b	21.56	23.68	0.992
X129	15.31	21.56	0.705
X129b	21.56	15.31	0.899
X130	26.55	21.56	0.705
X130b	21.56	26.55	0.78
X131	24.31	21.56	0.705
X131b	21.56	24.31	0.81
X132	26.03	21.56	0.705
X132b	21.56	26.03	0.53
X133	26.87	21.56	0.705
X133b	21.56	26.87	0.76
X134	23.37	21.56	0.705
X134b	21.56	23.37	0.63
X135	14.38	21.56	0.705
X135b	21.56	14.38	0.419
X136	25.01	21.56	0.705
X136b	21.56	25.01	0.71
X137	25.21	21.56	0.705
X137b	21.56	25.21	0.67
X138	15.31	23.68	0.992
X138b	23.68	15.31	0.899
X139	26.55	23.68	0.992
X139b	23.68	26.55	0.78
X140	24.31	23.68	0.992
X140b	23.68	24.31	0.81
X141	26.03	23.68	0.992
X141b	23.68	26.03	0.53
X142	26.87	23.68	0.992
X142b	23.68	26.87	0.76
X143	23.37	23.68	0.992
X143b	23.68	23.37	0.63
X144	14.38	23.68	0.992
X144b	23.68	14.38	0.419
X145	25.01	23.68	0.992
X145b	23.68	25.01	0.71
X146	25.21	23.68	0.992
X146b	23.68	25.21	0.67
X147	13.59	15.31	0.899
X147b	15.31	13.59	0.793
X148	26.55	15.31	0.899
X148b	15.31	26.55	0.78
X149	24.31	15.31	0.899
X149b	15.31	24.31	0.81
X150	25.01	15.31	0.899
X150b	15.31	25.01	0.71
X151	23.98	15.31	0.899
X151b	15.31	23.98	0.87
X152	26.17	15.31	0.899
X152b	15.31	26.17	0.74
X153	23.98	13.59	0.793
X153b	13.59	23.98	0.87
X154	26.17	13.59	0.793
X154b	13.59	26.17	0.74
X155	25.0	13.59	0.793
X155b	13.59	25.0	0.97
X156	24.04	13.59	0.793
X156b	13.59	24.04	0.87
X157	24.31	26.55	0.78
X157b	26.55	24.31	0.81
X158	26.03	26.55	0.78
X158b	26.55	26.03	0.53
X159	19.69	26.55	0.78
X159b	26.55	19.69	-0.15
X160	23.37	26.55	0.78
X160b	26.55	23.37	0.63
X161	14.38	26.55	0.78
X161b	26.55	14.38	0.419
X162	25.01	26.55	0.78
X162b	26.55	25.01	0.71
X163	25.21	26.55	0.78
X163b	26.55	25.21	0.67
X164	23.98	26.55	0.78
X164b	26.55	23.98	0.87
X165	26.17	26.55	0.78
X165b	26.55	26.17	0.74
X166	12.86	24.31	0.81
X166b	24.31	12.86	0.69
X167	26.03	24.31	0.81
X167b	24.31	26.03	0.53
X168	19.69	24.31	0.81
X168b	24.31	19.69	-0.15
X169	25.01	24.31	0.81
X169b	24.31	25.01	0.71
X170	25.21	24.31	0.81
X170b	24.31	25.21	0.67
X171	23.98	24.31	0.81
X171b	24.31	23.98	0.87
X172	26.17	24.31	0.81
X172b	24.31	26.17	0.74
X173	25.0	24.31	0.81
X173b	24.31	25.0	0.97
X174	26.03	12.86	0.69
X174b	12.86	26.03	0.53
X175	19.69	12.86	0.69
X175b	12.86	19.69	-0.15
X176	21.48	12.86	0.69
X176b	12.86	21.48	0.947
X177	20.86	12.86	0.69
X177b	12.86	20.86	0.854
X178	19.69	16.57	0.91
X178b	16.57	19.69	-0.15
X179	19.69	26.03	0.53
X179b	26.03	19.69	-0.15
X180	26.87	26.03	0.53
X180b	26.03	26.87	0.76
X181	23.37	26.03	0.53
X181b	26.03	23.37	0.63
X182	14.38	26.03	0.53
X182b	26.03	14.38	0.419
X183	25.01	26.03	0.53
X183b	26.03	25.01	0.71
X184	25.21	26.03	0.53
X184b	26.03	25.21	0.67
X185	23.37	19.69	-0.15
X185b	19.69	23.37	0.63
X186	14.38	19.69	-0.15
X186b	19.69	14.38	0.419
X187	25.01	19.69	-0.15
X187b	19.69	25.01	0.71
X188	25.21	19.69	-0.15
X188b	19.69	25.21	0.67
X189	23.37	26.87	0.76
X189b	26.87	23.37	0.63
X190	14.38	26.87	0.76
X190b	26.87	14.38	0.419
X191	25.01	26.87	0.76
X191b	26.87	25.01	0.71
X192	25.21	26.87	0.76
X192b	26.87	25.21	0.67
X193	14.38	23.37	0.63
X193b	23.37	14.38	0.419
X194	25.01	23.37	0.63
X194b	23.37	25.01	0.71
X195	25.21	23.37	0.63
X195b	23.37	25.21	0.67
X196	25.01	14.38	0.419
X196b	14.38	25.01	0.71
X197	25.21	14.38	0.419
X197b	14.38	25.21	0.67
X198	25.01	21.57	0.94
X198b	21.57	25.01	0.71
X199	25.21	21.57	0.94
X199b	21.57	25.21	0.67
X200	25.21	25.01	0.71
X200b	25.01	25.21	0.67
X201	26.17	23.98	0.87
X201b	23.98	26.17	0.74
X202	21.48	23.98	0.87
