label	C1	C2	H2	intensity
X1	14.330	17.860	1.663	4.0569e-03
X1b	17.860	14.330	0.600	4.0569e-03
X2	22.340	17.860	1.663	2.4169e-03
X2b	17.860	22.340	0.724	2.4169e-03
X3	19.610	17.860	1.663	3.8068e-02
X3b	17.860	19.610	0.445	3.8068e-02
X4	26.870	17.860	1.663	2.6326e-02
X4b	17.860	26.870	0.760	2.6326e-02
X5	23.370	17.860	1.663	4.0288e-03
X5b	17.860	23.370	0.630	4.0288e-03
X6	14.380	17.860	1.663	2.3682e-03
X6b	17.860	14.380	0.419	2.3682e-03
X7	22.490	14.330	0.600	1.8299e-03
X7b	14.330	22.490	0.697	1.8299e-03
X8	20.930	14.330	0.600	1.9983e-02
X8b	14.330	20.930	0.742	1.9983e-02
X9	27.170	14.330	0.600	2.9042e-03
X9b	14.330	27.170	0.710	2.9042e-03
X10	24.270	14.330	0.600	3.7330e-02
X10b	14.330	24.270	0.780	3.7330e-02
X11	22.340	14.330	0.600	2.9114e-02
X11b	14.330	22.340	0.724	2.9114e-02
X12	19.610	14.330	0.600	4.7388e-02
X12b	14.330	19.610	0.445	4.7388e-02
X13	9.480	14.330	0.600	8.6587e-04
X13b	14.330	9.480	0.584	8.6587e-04
X14	21.560	14.330	0.600	1.4625e-02
X14b	14.330	21.560	0.705	1.4625e-02
X15	23.680	14.330	0.600	9.5736e-03
X15b	14.330	23.680	0.992	9.5736e-03
X16	15.310	14.330	0.600	1.5361e-03
X16b	14.330	15.310	0.899	1.5361e-03
X17	26.550	14.330	0.600	1.4022e-03
X17b	14.330	26.550	0.780	1.4022e-03
X18	24.310	14.330	0.600	3.7330e-02
X18b	14.330	24.310	0.810	1.2821e-03
X19	26.030	14.330	0.600	1.1206e-03
X19b	14.330	26.030	0.530	1.1206e-03
X20	26.870	14.330	0.600	1.7842e-02
X20b	14.330	26.870	0.760	1.7842e-02
X21	23.370	14.330	0.600	1.1946e-02
X21b	14.330	23.370	0.630	1.1946e-02
X22	14.380	14.330	0.600	3.5601e-03
X22b	14.330	14.380	0.419	3.5601e-03
X23	25.010	14.330	0.600	6.1286e-02
X23b	14.330	25.010	0.710	6.1286e-02
X24	25.210	14.330	0.600	1.8944e-02
X24b	14.330	25.210	0.670	1.8944e-02
X25	20.930	22.490	0.697	8.2662e-01
X25b	22.490	20.930	0.742	8.2662e-01
X26	21.570	22.490	0.697	1.1900e-02
X26b	22.490	21.570	1.197	1.1900e-02
X27	22.050	22.490	0.697	2.1298e-03
X27b	22.490	22.050	1.100	2.1298e-03
X28	14.480	22.490	0.697	6.3288e-03
X28b	22.490	14.480	0.734	6.3288e-03
X29	27.170	22.490	0.697	1.6683e-03
X29b	22.490	27.170	0.710	1.6683e-03
X30	24.270	22.490	0.697	3.3182e-02
X30b	22.490	24.270	0.780	5.4720e-03
X31	21.560	22.490	0.697	1.1900e-02
X31b	22.490	21.560	0.705	1.9555e-03
X32	15.310	22.490	0.697	3.6230e-02
X32b	22.490	15.310	0.899	3.6230e-02
X33	13.590	22.490	0.697	1.1318e-03
X33b	22.490	13.590	0.793	1.1318e-03
X34	26.550	22.490	0.697	3.0553e-03
X34b	22.490	26.550	0.780	3.0553e-03
X35	24.310	22.490	0.697	3.3182e-02
X35b	22.490	24.310	0.810	3.3182e-02
X36	21.570	22.490	0.697	1.1900e-02
X36b	22.490	21.570	0.940	1.9174e-03
X37	25.010	22.490	0.697	6.0267e-03
X37b	22.490	25.010	0.710	6.0267e-03
X38	25.210	22.490	0.697	1.7614e-03
X38b	22.490	25.210	0.670	1.7614e-03
X39	23.980	22.490	0.697	1.0819e-02
X39b	22.490	23.980	0.870	1.0819e-02
X40	26.170	22.490	0.697	2.6676e-02
X40b	22.490	26.170	0.740	2.6676e-02
X41	21.570	20.930	0.742	7.7482e-03
X41b	20.930	21.570	1.197	1.5699e-03
X42	22.050	20.930	0.742	2.0959e-03
X42b	20.930	22.050	1.100	2.0959e-03
X43	14.480	20.930	0.742	8.9894e-03
X43b	20.930	14.480	0.734	8.9894e-03
X44	27.170	20.930	0.742	9.3887e-03
X44b	20.930	27.170	0.710	9.3887e-03
X45	24.270	20.930	0.742	8.7086e-02
X45b	20.930	24.270	0.780	8.7086e-02
X46	22.340	20.930	0.742	1.1290e-03
X46b	20.930	22.340	0.724	1.1290e-03
X47	21.560	20.930	0.742	7.7482e-03
X47b	20.930	21.560	0.705	7.7482e-03
X48	23.680	20.930	0.742	1.1465e-03
X48b	20.930	23.680	0.992	1.1465e-03
X49	15.310	20.930	0.742	3.7275e-02
X49b	20.930	15.310	0.899	3.7275e-02
X50	26.550	20.930	0.742	3.0954e-03
X50b	20.930	26.550	0.780	3.0954e-03
X51	24.310	20.930	0.742	8.7086e-02
X51b	20.930	24.310	0.810	1.2196e-02
X52	21.570	20.930	0.742	7.7482e-03
X52b	20.930	21.570	0.940	1.6710e-03
X53	25.010	20.930	0.742	2.0385e-02
X53b	20.930	25.010	0.710	2.0385e-02
X54	25.210	20.930	0.742	4.1069e-03
X54b	20.930	25.210	0.670	4.1069e-03
X55	23.980	20.930	0.742	1.6379e-03
X55b	20.930	23.980	0.870	1.6379e-03
X56	26.170	20.930	0.742	2.6747e-03
X56b	20.930	26.170	0.740	2.6747e-03
X57	23.920	21.570	1.197	9.2927e-04
X57b	21.570	23.920	0.990	9.2927e-04
X58	21.890	21.570	1.197	2.6255e-03
X58b	21.570	21.890	1.270	2.6255e-03
X59	22.050	21.570	1.197	1.4923e-03
X59b	21.570	22.050	1.100	7.4754e-03
X60	14.480	21.570	1.197	3.1012e-03
X60b	21.570	14.480	0.734	3.1012e-03
X61	15.310	21.570	1.197	1.1047e-03
X61b	21.570	15.310	0.899	3.4651e-02
X62	13.590	21.570	1.197	8.2098e-03
X62b	21.570	13.590	0.793	8.2098e-03
X63	23.980	21.570	1.197	3.0680e-03
X63b	21.570	23.980	0.870	3.0680e-03
X64	26.170	21.570	1.197	3.7775e-02
X64b	21.570	26.170	0.740	3.7775e-02
X65	25.000	21.570	1.197	1.7645e-03
X65b	21.570	25.000	0.970	1.7645e-03
